相声小品,#genre#
凤凰资讯,http://ime.sogou.com/wbversion.txt?h=1A105F4309A892BFC34C2CE684BA62EE&v=4.0.0.1920&r=0000_sogou_wubi_40a&s=1&sf=1&QQPy=6.6.6304.400&IE=9.11.9600.19463&x64=1&fvo=6.1.7601.24520&pvo=6.1.7601&stc=4|0|0&scr1=2997/3994&scr2=0/0&scr3=0/0&pgsc=4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0&bksp=0|0|0&jmmm=0/0|0/0|0/0&jmwb=0/0|0/0|0/0&gbksc=0&tgbk=0&tpy=0&mmpy=0|0|0|0&mmjp=0|0|0|0&zjcr=0/0&zjc=0&agbk=1&pyhwb=1&szsu=1&szspt=0&zsmpy=0&zsmwb=8&zspwb=0&zsppy=0&sa=0&as=0&fd=1&im=0&cec=0&szeu=0&szcp=1&aln=1&ktp=0&k1=1&k2=1&k3=1&k4=1&k5=1&k6=1&k7=1&k8=1&k9=1&k10=0&k11=1&k12=0&k13=0&k14=0&k15=0&k16=1&hd=1&swd=0&lon=0&lfn=0&mch=1&pow=0&wec=1&fz=0&cr=1&uwa=0&sis=1&vm=1&up=1&mod=2&rsk=0&riut=0&rhi=0&rqw=0&rie=0&rsc=0&ric=0&rig=0&rdt=0&rci=0&riw=0&rip=0&rnw=0&lls=%FE%A2%B7%FC%8C%9D2%FD%B4%9A%FE%A7%893%3A7%3A%FD%A4%94%FF%A6%95%F3%8E%B4%FD%81%826%3A%FE%A2%B7%FC%8C%9D2%FD%B4%9A%FE%A7%893%3A7%3A%FC%8A%86%FD%91%8D%FE%A0%8E%FD%B6%8E%F2%A4%89%FF%9F%BF%FC%A9%8F6%3A%FE%A2%B7%FC%8C%9D%3A7%3AKK%FC%91%A6%F3%85%A9%F2%A4%89%FF%9F%BF%FC%A9%8F6%3A%1A&pls=%2B0tun%7Fj%7B~114%7Fb%7Ff%1A&rme1=0&rme2=0&rme3=0&rme4=0&rme5=0&rme6=0&rme7=0&rme8=0&rme9=0&rme10=0&rme11=0&rme12=0&rme13=0&rme14=0&rme15=0&rme16=0&rme17=0&rme18=0&wbs=0 

凤凰香港,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$高清720P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=6d175258de742132e85e9405-157881825529454&wsIPSercert=82db4cc65e24e5963f2c368b180dc0b3&wsMonitor=0&time=1578818276184$高清720P
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=4d8a298174cfa0d419d3d6bb-166631266519607&wsIPSercert=f3d0cb7bcf1687f93eee2195d0a3bbc9&wsMonitor=0 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0$高清720P 

香港文旅,http://fc3e2a3dca763cf795139f3c5bfd8831.livehwc3.cn/hw-play.lezhibo.com/live/bd2d26fd492b403d8ec69de1859bdb31.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=4a8c78c1fc216884132180bb5335ef5b 

r
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8 
澳门卫视,http://61.244.22.5/ch3/ch3.live/chunklist_w1531700984.m3u8 

TVB翡翠,http://23.237.10.66:16106
TVB翡翠,http://113.64.147.170:808/hls/67/index.m3u8

TVB财经,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8/



央视高清,#genre#
CCTV1,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV1,http://hls.ye23.vip/hls/cctv1hd.m3u8
CCTV1,http://fyld.eatuo.com:9901/tsfile/live/1018_1.m3u8
CCTV1,http://fyld.eatuo.com:9901/tsfile/live/1001_1.m3u8 
CCTV1,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000210102.m3u8 
CCTV1,http://111.20.33.70/TVOD/88888893/224/3221226010/index.m3u8
CCTV1,http://111.13.42.234/PLTV/88888888/224/3221226338/1.m3u8
CCTV1,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8 
CCTV1,http://yfsl.vsd.gehua.net.cn/live/CCTV1HD_1200.m3u8 
CCTV1,http://223.111.124.239/yfsl.vsd.gehua.net.cn/live/CCTV1HDPortal_1500.m3u8 
CCTV1,http://111.13.42.235/PLTV/88888888/224/3221226346/1.m3u8
CCTV1,http://111.40.196.27/PLTV/88888888/224/3221225548/index.m3u8
CCTV1,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8$超清1080P
CCTV1,http://222.175.159.226:808/hls/1/index.m3u8$超清1080P
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P

CCTV2,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV2,http://111.20.33.70/TVOD/88888893/224/3221226195/index.m3u8
 CCTV2,http://fyld.eatuo.com:9901/tsfile/live/1019_1.m3u8
CCTV2,http://hls.ye23.vip/hls/cctv2hd.m3u8
CCTV2,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV2,http://yfsl.vsd.gehua.net.cn/live/CCTV2_800.m3u8
CCTV2,http://yfsl.vsd.gehua.net.cn/live/CCTV2HD_1200.m3u8
CCTV2,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203602.m3u8
CCTV2,	http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8	
CCTV2,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV2,http://111.13.42.229/PLTV/88888888/224/3221226230/1.m3u8
CCTV2,http://125.40.191.58:9901/tsfile/live/0002_1.m3u8

CCTV3,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV3,http://111.20.33.70/TVOD/88888893/224/3221226397/index.m3u8
CCTV3,http://hls.ye23.vip/hls/cctv3hd.m3u8
CCTV3,http://yfsl.vsd.gehua.net.cn/live/CCTV3HD_1200.m3u8				
 CCTV3,http://fyld.eatuo.com:9901/tsfile/live/1020_1.m3u8 
CCTV3,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203802.m3u8	
CCTV3,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203803.m3u8	
CCTV3,http://cm.wshls.homecdn.com/live/11ef4.m3u8	
CCTV3,http://39.134.32.102:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8$超清1080P
CCTV3,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8
CCTV3,http://111.40.196.25/PLTV/88888888/224/3221225588/index.m3u8

CCTV4,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV4,http://111.20.33.70/TVOD/88888893/224/3221226191/index.m3u8
CCTV4,http://hls.ye23.vip/hls/cctv4hd.m3u8
  CCTV4,http://fyld.eatuo.com:9901/tsfile/live/1021_1.m3u8 
CCTV4,http://yfsl.vsd.gehua.net.cn/live/CCTV4_800.m3u8
CCTV4,http://yfsl.vsd.gehua.net.cn/live/CCTV4HD_1200.m3u8
CCTV4,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204802.m3u8	
CCTV4,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204803.m3u8	
CCTV4,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV4,,http://111.13.42.230/PLTV/88888888/224/3221226470/1.m3u8

CCTV4K,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000266303.m3u8
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000266303.m3u8 
CCTV4K,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000266302.m3u8 

CCTV5,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV5,http://111.20.33.70/TVOD/88888893/224/3221226395/index.m3u8
CCTV5,http  CCTV5,http://fyld.eatuo.com:9901/tsfile/live/1022_1.m3u8 
CCTV5,http://fyld.eatuo.com:9901/tsfile/live/1022_1.m3u8 
CCTV5,http://hls.ye23.vip/hls/cctv5hd.m3u8
CCTV5,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205102.m3u8 
CCTV5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV5,http://newvideo.dangtutv.cn:8278/CCTVsports/playlist.m3u8$超清1080P
CCTV5,http://222.175.159.226:808/hls/5/index.m3u8$超清1080P
CCTV5,http://125.40.191.58:9901/tsfile/live/0005_1.m3u8

CCTV5+,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV5+,http://111.40.196.25/PLTV/88888888/224/3221225767/index.m3u8$超清1080P
CCTV5+,http://yfsl.vsd.gehua.net.cn/live/CCTV5plusHD_1200.m3u8 
  CCTV5+,http://fyld.eatuo.com:9901/tsfile/live/1023_1.m3u8 
CCTV5+,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204502.m3u8 
CCTV5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV5+,http://111.20.33.70/TVOD/88888893/224/3221226221/index.m3u8
CCTV5+,http://222.175.159.226:808/hls/6/index.m3u8
CCTV5+,http://39.134.32.103:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT

CCTV6,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/ 2000203303.m3u8
CCTV6,http://yfsl.vsd.gehua.net.cn/live/CCTV6HD_1200.m3u8			  
CCTV6,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203302.m3u8			
CCTV6,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203303.m3u8		
 CCTV6,http://fyld.eatuo.com:9901/tsfile/live/1024_1.m3u8 
CCTV6,http://183.207.255.207/live/program/live/cctv6hd/4000000/mnf.m3u8			
CCTV6,http://111.177.34.89/hlslive.1905.com/live/LIVE2OR14O20ADLYU/index.m3u8
 CCTV6,http://cm.wshls.homecdn.com/live/11ee8.m3u8
CCTV6,http://111.20.33.70/TVOD/88888893/224/3221226393/index.m3u8
CCTV6,http://111.20.33.93/PLTV/88888893/224/3221226394/index.m3u8
CCTV6,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV6,http://125.40.191.58:9901/tsfile/live/0007_1.m3u8
CCTV6,http://39.134.66.2/PLTV/88888888/224/3221225814/index.m3u8

CCTV7,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV7,http://111.20.33.70/TVOD/88888893/224/3221226192/index.m3u
CCTV7,http://hls.ye23.vip/hls/cctv7hd.m3u8
  CCTV7,http://fyld.eatuo.com:9901/tsfile/live/1025_1.m3u8 
CCTV7,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV7,http://yfsl.vsd.gehua.net.cn/live/CCTV7_800.m3u8
CCTV7,http://yfsl.vsd.gehua.net.cn/live/CCTV7HD_1200.m3u8
CCTV7,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000510002.m3u8
CCTV7,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV7,http://183.207.255.207/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://125.40.191.58:9901/tsfile/live/1006_1.m3u8

CCTV8,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV8,http://111.20.33.70/TVOD/88888893/224/3221226391/index.m3u8
CCTV8,http://hls.ye23.vip/hls/cctv8hd.m3u8
  CCTV8,http://fyld.eatuo.com:9901/tsfile/live/1026_1.m3u8
CCTV8,http://yfsl.vsd.gehua.net.cn/live/CCTV8_800.m3u8
CCTV8,http://yfsl.vsd.gehua.net.cn/live/CCTV8HD_1200.m3u8		
CCTV8,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203902.m3u8	
CCTV8,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV8,http://cm.wshls.homecdn.com/live/11ee0.m3u8
CCTV8,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV8,http://125.40.191.58:9901/tsfile/live/1007_1.m3u8
CCTV8,http://111.40.196.25/PLTV/88888888/224/3221225565/index.m3u8$高清1080P

CCTV9,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV9,http://hls.ye23.vip/hls/cctv9hd.m3u8
 CCTV9,http://fyld.eatuo.com:9901/tsfile/live/1027_1.m3u8
CCTV9,http://yfsl.vsd.gehua.net.cn/live/CCTV9_800.m3u8
CCTV9,http://yfsl.vsd.gehua.net.cn/live/CCTV9HD_1200.m3u8
CCTV9,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000499402.m3u8
CCTV9,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV9,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u
CCTV9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8$超清1080P
CCTV9,http://111.20.33.70/TVOD/88888893/224/3221226197/index.m3u8$超清1080P
CCTV9,http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8$高清1080P
CCTV9,http://111.40.196.34/PLTV/88888888/224/3221225502/index.m3u8$高清1080P

CCTV10,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV10,http://111.20.33.70/TVOD/88888893/224/3221226189/index.m3u8
    CCTV10,http://fyld.eatuo.com:9901/tsfile/live/1028_1.m3u8 
CCTV10,http://yfsl.vsd.gehua.net.cn/live/CCTV10_800.m3u8
CCTV10,http://yfsl.vsd.gehua.net.cn/live/CCTV10HD_1200.m3u8
CCTV10,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203902.m3u8
CCTV10,http://cm.wshls.homecdn.com/live/11ed8.m3u8
CCTV10,http://183.207.255.207/live/program/live/cctv10hd/4000000/mnf.m3u8
CCTV10,http://hls.ye23.vip/hls/cctv10hd.m3u8
CCTV10,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225627/2/index.m3u8
CCTV10,http://39.134.67.110/PLTV/88888888/224/3221225677/index.m3u8$超清1080P

CCTV11,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV11,http://111.20.33.70/TVOD/88888893/224/3221226240/index.m3u8
CCTV11,http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8
 CCTV11,http://fyld.eatuo.com:9901/tsfile/live/1029_1.m3u8 
CCTV11,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV11,http://yfsl.vsd.gehua.net.cn/live/CCTV11_2000.m3u8
CCTV11,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204102.m3u8
CCTV11,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV11,http://hls.ye23.vip/hls/cctv11hd.m3u8
CCTV11,http://222.175.159.226:808/hls/12/index.m3u8$超清1080P

CCTV12,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV12,http://111.20.33.70/TVOD/88888893/224/3221226190/index.m3u8
CCTV12,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
 CCTV12,http://fyld.eatuo.com:9901/tsfile/live/1030_1.m3u8 
CCTV12,http://yfsl.vsd.gehua.net.cn/live/CCTV12_800.m3u8
CCTV12,http://yfsl.vsd.gehua.net.cn/live/CCTV12HD_1200.m3u8
CCTV12,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000202602.m3u8
CCTV12,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV12,http://183.207.255.207/live/program/live/cctv12/1300000/mnf.m3u8
CCTV12,http://hls.ye23.vip/hls/cctv12hd.m3u8
CCTV12,http://39.134.67.110/PLTV/88888888/224/3221225669/index.m3u8$超清1080P

CCTV13,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV13,http://111.20.33.70/TVOD/88888893/224/3221226233/index.m3u8
CCTV13,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV13,http://hls.ye23.vip/hls/cctv13hd.m3u8
CCTV13,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8
CCTV13,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv13_2/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8
CCTV13,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204602.m3u8
CCTV13,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV13,http://183.207.255.207/live/program/live/cctvxw/1300000/mnf.m3u8
CCTV13,http://yfsl.vsd.gehua.net.cn/live/CCTV13_2000.m3u8
CCTV13,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/index.m3u8
CCTV13,http://cm.wshls.homecdn.com/live/4e2f.m3u8
CCTV13,http://stream4.jlntv.cn/cctv13/playlist.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8$超清1080P

CCTV14,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV14,http://111.20.33.70/TVOD/88888893/224/3221226193/index.m3u8
CCTV14,http://yfsl.vsd.gehua.net.cn/live/CCTV14_800.m3u8
 CCTV14,http://fyld.eatuo.com:9901/tsfile/live/1032_1.m3u8 
CCTV14,http://yfsl.vsd.gehua.net.cn/live/CCTV14HD_1200.m3u8
CCTV14,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204402.m3u8
CCTV14,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV14,http://59.51.68.40:1936/live/cctv14/playlist.m3u8
CCTV14,http://hls.ye23.vip/hls/cctv14hd.m3u8
CCTV14,http://39.134.67.110/PLTV/88888888/224/3221225674/index.m3u8$超清1080P
CCTV14,http://111.40.196.30/PLTV/88888888/224/3221225573/index.m3u8$超清1080P

CCTV15,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV15,http://111.20.33.70/TVOD/88888888/224/3221225785/index.m3u8$超清1080P
CCTV15,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205002.m3u8
CCTV15,http://fyld.eatuo.com:9901/tsfile/live/1033_1.m3u8 
CCTV15,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV15,http://yfsl.vsd.gehua.net.cn/live/CCTVmusic_2000.m3u8
CCTV15,http://183.207.255.207/live/program/live/cctvyy/1300000/mnf.m3u8
CCTV15,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225693/index.m3u8
CCTV15,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8$高清1080P
CCTV15,http://39.134.67.110/PLTV/88888888/224/3221225513/index.m3u8$高清1080P

CCTV16,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV16,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8$超清1080P
CCTV16,http://111.20.33.70/TVOD/88888893/224/3221226921/index.m3u8
CCTV16,http://111.20.33.93/PLTV/88888893/224/3221226921/index.m3u8
CCTV16,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012492302.m3u8
CCTV16,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV16,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012375002.m3u8
CCTV16,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV16,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012492303.m3u8

CCTV17,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV17,http://111.20.33.70/TVOD/88888893/224/3221226198/index.m3u8
CCTV17,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8
 CCTV17,http://fyld.eatuo.com:9901/tsfile/live/1034_1.m3u8 
CCTV17,http://yfsl.vsd.gehua.net.cn/live/CCTV17HD_6000.m3u8
CCTV17,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204202.m3u8
CCTV17,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV17,http://59.51.68.40:1936/live/cctv17/playlist.m3u8
CCTV17,http://39.134.32.102:6610/270000001111/1110000391/index.m3u8?IASHttpSessionId=OTT
CCTV17,http://111.13.42.235/PLTV/88888888/224/3221226318/1.m3u8

CGTN英闻,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2001656803.m3u8
CGTN法语,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2010153503.m3u8
CGTN俄语,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2010152603.m3u8
CGTN阿拉伯语,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2010155203.m3u8
CGTN西班牙语,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2010152503.m3u8
CGTN纪录国际,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2010155403.m3u8


🎈cetv系列,#genre#
cetv1,https://txycsbl.centv.cn/zb/0628cetv1.m3u8
cetv1,http://183.207.255.188/live/program/live/zgjy1ott/1300000/mnf.m3u8
cetv1,http://111.20.33.93/TVOD/88888888/224/3221225753/index.m3u8$超清1080P
cetv1,http://yfsl.vsd.gehua.net.cn/live/CETV1HD_1200.m3u8
cetv1,http://yfsl.vsd.gehua.net.cn/live/CETV1_800.m3u8
etv1,http://111.40.196.35/PLTV/88888888/224/3221225576/index.m3u8 
cetv1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8 

cetv2,http://183.207.248.9/PLTV/4/224/3221225850/index.m3u8 
cetv2,http://111.20.33.93/TVOD/88888888/224/3221225756/index.m3u8$超清1080P

cetv3,http://111.20.33.84/PLTV/88888893/224/3221226226/1.m3u8 
cetv3,http://111.20.33.70/PLTV/88888893/224/3221226226/index.m3u8
cetv3,http://223.111.124.239/yfsl.vsd.gehua.net.cn/live/CETV3_800.m3u8 

cetv4,http://yfsl.vsd.gehua.net.cn/live/CETV4_800.m3u8 
cetv4,http://111.20.33.79/PLTV/88888893/224/3221226225/index.m3u8 
cetv4,http://111.20.33.70/PLTV/88888893/224/3221226225/index.m3u8
cetv4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8 
cetv早教,http://yfsl.vsd.gehua.net.cn/live/ZaoQiJiaoYu_800.m3u8 



CGTN,http://111.20.33.93/TVOD/88888888/224/3221225745/index.m3u8$超清1080P
冬奥纪实,http://111.20.33.70/PLTV/88888893/224/3221226232/index.m3u8$超清1080P

🎈央视数字频道,#genre#

cctv兵器科技,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
cctv兵器科技,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513402.m3u8 
cctv兵器科技,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513403.m3u8 

cctv文化精品,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
cctv文化精品,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513802.m3u8 
 cctv文化精品, http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513803.m3u8 
cctv文化精品,http://httpdvb.slave.yqdtv.com:13164/httpdvb/piece.ts?accesstoken=G171CCF47V21307D1TE06202J347C03ABM7902F3A5I2A659027K98BDA6&piecekey=sdysjp&piecevalue=63514995&pieceid=4200000075 
 
cctv第一剧场,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
 cctv第一剧场,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514402.m3u8 
  cctv第一剧场,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514403.m3u8 
  
 cctv怀旧剧场,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
   cctv怀旧剧场,http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012511202.m3u8 
 cctv怀旧剧场, http://111.32.169.224/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012511203.m3u8 
 cctv怀旧剧场,http://httpdvb.slave.yqdtv.com:13164/httpdvb/piece.ts?accesstoken=G171CCF47V21307D1TE06202J347C03ABM7902F3A5I2A659027K98BDA6&piecekey=sdhjjc&piecevalue=63514af5&pieceid=4200000077 
  
